TEAM,W,D,L,RESULTS
Crystal Palace - Liverpool,5.92,4.15,1.57,l
Leicester - Brighton,2.58,3.42,2.76,d
Brentford - Wolves,2.47,3.05,3.21,l
Everton - Aston Villa,2.74,3.4,2.62,l
Leeds - Newcastle,1.9,3.87,3.92,l
Manchester Utd - West Ham,2.08,3.62,3.51,w
Southampton - Manchester City,10.8,5.99,1.28,d
Watford - Norwich,2.03,3.52,3.77,l
Brentford - Manchester Utd,4.54,3.7,1.81,l
Leicester - Tottenham,3.19,3.4,2.29,l
Brighton - Chelsea,5.51,3.76,1.67,d
Liverpool - Brentford,1.27,6.13,11.27,w
West Ham - Leeds,1.67,4.21,4.88,l
Aston Villa - Manchester Utd,2.55,3.48,2.76,d
Manchester City - Chelsea,1.63,4.18,5.28,w
Newcastle - Watford,1.83,3.75,4.32,d
Norwich - Everton,3.4,3.31,2.24,w
Wolves - Southampton,2.44,3.07,3.26,w
Brighton - Crystal Palace,2.04,3.35,3.96,d
West Ham - Norwich,1.4,4.96,7.94,w
Southampton - Brentford,2.18,3.31,3.57,w
Manchester Utd - Wolves,1.67,3.78,5.6,l
Brentford - Aston Villa,2.87,3.22,2.58,w
Chelsea - Liverpool,2.61,3.48,2.68,d
Everton - Brighton,2.83,3.11,2.71,l
Leeds - Burnley,2.04,3.58,3.62,w
Arsenal - Manchester City,5.22,4.21,1.63,l
Crystal Palace - West Ham,3.41,3.33,2.22,l
Watford - Tottenham,5.67,4.1,1.61,l
Manchester Utd - Burnley,1.37,5.01,8.94,w
Brentford - Manchester City,16.55,8.35,1.16,l
Chelsea - Brighton,1.35,4.95,10.21,d
Crystal Palace - Norwich,1.74,3.56,5.29,w
Leicester - Liverpool,8.76,6.12,1.31,w
Southampton - Tottenham,3.71,3.41,2.09,d
Watford - West Ham,3.53,3.69,2.05,l
Newcastle - Manchester Utd,6.43,4.67,1.49,d
Aston Villa - Chelsea,5.16,3.76,1.72,l
Brighton - Brentford,1.94,3.41,4.27,w
Manchester City - Leicester,1.13,9.88,18.13,w
Norwich - Arsenal,6.47,4.45,1.51,l
Tottenham - Crystal Palace,1.71,3.8,5.13,w
West Ham - Southampton,1.95,3.66,3.92,l
Newcastle - Manchester City,20.88,9.43,1.13,l
Tottenham - Liverpool,4.84,4.14,1.68,d
Wolves - Chelsea,5.46,3.42,1.76,d
Leeds - Arsenal,5.76,4.3,1.57,l
Chelsea - Everton,1.2,6.81,16.8,d
Liverpool - Newcastle,1.11,10.59,24.38,w
Arsenal - West Ham,2.08,3.57,3.57,w
Brighton - Wolves,2.07,3.17,4.18,l
Crystal Palace - Southampton,2.1,3.37,3.75,d
Manchester City - Leeds,1.15,9.07,17.49,w
Norwich - Aston Villa,3.7,3.36,2.11,l
Burnley - West Ham,3.44,3.45,2.16,d
Crystal Palace - Everton,2.23,3.18,3.55,w
Leicester - Newcastle,1.73,3.99,4.66,w
Arsenal - Southampton,1.75,3.9,4.69,w
Chelsea - Leeds,1.24,6.59,12.86,w
Liverpool - Aston Villa,1.24,6.73,12.03,w
Manchester City - Wolves,1.17,7.75,18.5,w
Norwich - Manchester Utd,7.3,4.88,1.43,l
Brentford - Watford,2.52,3.33,2.9,w
Everton - Arsenal,3.53,3.43,2.15,w
Aston Villa - Leicester,2.24,3.44,3.28,w
Leeds - Brentford,1.82,3.51,4.77,d
Manchester Utd - Crystal Palace,1.51,4.45,6.41,w
Tottenham - Norwich,1.45,4.51,7.62,w
Newcastle - Burnley,2.35,3.44,3.07,w
Southampton - Brighton,2.54,3.16,3.01,d
Watford - Manchester City,13.51,7.15,1.21,l
West Ham - Chelsea,4.83,3.65,1.78,w
Wolves - Liverpool,8.54,5.05,1.38,l
Manchester Utd - Arsenal,2.08,3.64,3.48,w
Tottenham - Brentford,1.65,3.91,5.5,w
Aston Villa - Manchester City,7.41,4.66,1.45,l
Everton - Liverpool,8.58,5.12,1.37,l
Southampton - Leicester,2.33,3.45,3.1,d
Watford - Chelsea,9.82,5.32,1.33,l
West Ham - Brighton,1.99,3.42,4.09,d
Wolves - Burnley,1.94,3.37,4.34,d
Leeds - Crystal Palace,2.25,3.35,3.34,w
Newcastle - Norwich,2.09,3.51,3.62,l
Brentford - Everton,2.23,3.23,3.5,w
Chelsea - Manchester Utd,1.55,4.16,6.33,d
Leicester - Watford,1.7,3.87,5.14,w
Manchester City - West Ham,1.27,6.16,10.93,w
Arsenal - Newcastle,1.51,4.54,6.29,w
Brighton - Leeds,2.18,3.34,3.52,d
Crystal Palace - Aston Villa,2.31,3.24,3.31,l
Liverpool - Southampton,1.25,6.49,11.35,w
Norwich - Wolves,3.6,3.28,2.18,d
Manchester City - Everton,1.2,7.11,14.55,w
Tottenham - Leeds,1.61,4.05,5.8,w
Aston Villa - Brighton,2.46,3.3,3.01,w
Burnley - Crystal Palace,2.82,3.19,2.68,d
Leicester - Chelsea,4.92,3.7,1.76,l
Liverpool - Arsenal,1.52,4.7,5.9,w
Newcastle - Brentford,2.48,3.4,2.91,d
Norwich - Southampton,3.54,3.45,2.13,w
Watford - Manchester Utd,6.48,4.59,1.49,w
Wolves - West Ham,3.15,3.26,2.39,w
Arsenal - Watford,1.45,4.74,7.12,w
Everton - Tottenham,3.39,3.29,2.26,d
Leeds - Leicester,2.67,3.46,2.65,d
West Ham - Liverpool,4.49,4.21,1.72,w
Brentford - Norwich,1.64,3.97,5.56,l
Brighton - Newcastle,1.61,4.09,5.81,d
Chelsea - Burnley,1.27,5.7,12.76,d
Crystal Palace - Wolves,2.35,3.13,3.38,w
Manchester Utd - Manchester City,4.72,4.13,1.7,l
Southampton - Aston Villa,2.06,3.64,3.57,w
Wolves - Everton,2.23,3.2,3.58,w
Aston Villa - West Ham,2.99,3.49,2.38,l
Norwich - Leeds,3.6,3.65,2.04,l
Burnley - Brentford,2.64,3.15,2.9,w
Leicester - Arsenal,2.52,3.49,2.79,l
Liverpool - Brighton,1.27,6.17,10.6,d
Manchester City - Crystal Palace,1.15,8.7,19.88,l
Newcastle - Chelsea,7.95,4.55,1.44,l
Tottenham - Manchester Utd,3.12,3.61,2.26,l
Watford - Southampton,3.23,3.46,2.25,l
Brentford - Leicester,2.78,3.4,2.59,l
Manchester Utd - Liverpool,2.97,3.59,2.36,l
West Ham - Tottenham,2.29,3.51,3.13,w
Brighton - Manchester City,8.36,4.83,1.4,l
Chelsea - Norwich,1.22,6.56,14.85,w
Crystal Palace - Newcastle,1.91,3.55,4.29,d
Everton - Watford,1.79,3.61,4.88,l
Leeds - Wolves,2.44,3.4,2.97,d
Southampton - Burnley,1.96,3.61,3.95,d
Arsenal - Aston Villa,1.96,3.65,3.93,w
Arsenal - Crystal Palace,1.61,4.03,5.9,d
Everton - West Ham,2.85,3.28,2.6,l
Newcastle - Tottenham,3.56,3.62,2.07,l
Aston Villa - Wolves,2.12,3.22,3.86,l
Brentford - Chelsea,5.66,3.85,1.66,l
Leicester - Manchester Utd,3.67,3.75,1.99,w
Manchester City - Burnley,1.14,9.1,19.35,w
Norwich - Brighton,3.99,3.51,1.98,d
Southampton - Leeds,2.15,3.59,3.36,w
Watford - Liverpool,8.64,5.55,1.34,l
Crystal Palace - Leicester,2.82,3.25,2.64,d
Liverpool - Manchester City,3,3.56,2.34,d
Tottenham - Aston Villa,2.09,3.43,3.68,w
West Ham - Brentford,1.77,3.72,4.8,l
Brighton - Arsenal,3.27,3.28,2.32,d
Burnley - Norwich,1.96,3.55,4,d
Chelsea - Southampton,1.42,4.73,8,w
Leeds - Watford,1.75,3.94,4.62,w
Manchester Utd - Everton,1.54,4.23,6.57,d
Wolves - Newcastle,1.77,3.73,4.82,w
Crystal Palace - Brighton,2.88,3.09,2.7,d
Arsenal - Tottenham,2.2,3.38,3.45,w
Southampton - Wolves,2.19,3.3,3.54,l
Brentford - Liverpool,7.63,4.96,1.41,d
Chelsea - Manchester City,2.91,3.17,2.62,l
Everton - Norwich,1.69,3.77,5.49,w
Leeds - West Ham,2.95,3.57,2.36,l
Leicester - Burnley,1.68,3.87,5.39,d
Manchester Utd - Aston Villa,1.4,5.01,7.94,l
Watford - Newcastle,2.12,3.47,3.55,d
Brighton - Leicester,2.51,3.21,3.01,w
Tottenham - Chelsea,4.19,3.41,1.97,l
West Ham - Manchester Utd,4.39,3.77,1.82,l
Aston Villa - Everton,2.17,3.37,3.53,w
Burnley - Arsenal,3.77,3.63,2,l
Liverpool - Crystal Palace,1.28,6.07,10.75,w
Manchester City - Southampton,1.17,8.12,16.25,d
Norwich - Watford,2.29,3.29,3.33,l
Wolves - Brentford,1.82,3.35,5.12,l
Newcastle - Leeds,3.08,3.66,2.25,d
Everton - Burnley,1.77,3.52,5.25,w
Leeds - Liverpool,4.86,4.32,1.65,l
Arsenal - Norwich,1.41,4.9,7.93,w
Brentford - Brighton,3.04,3.01,2.64,l
Chelsea - Aston Villa,1.34,5.29,9.67,w
Crystal Palace - Tottenham,3.93,3.31,2.06,w
Leicester - Manchester City,5.55,4,1.63,l
Manchester Utd - Newcastle,1.19,7.38,15.99,w
Southampton - West Ham,3.07,3.52,2.32,d
Watford - Wolves,3.6,3.16,2.23,l
Burnley - Leeds,3.28,3.54,2.21,d
Tottenham - Watford,1.45,4.46,7.8,w
Wolves - Manchester Utd,4.95,3.7,1.76,l
Aston Villa - Brentford,2.07,3.29,3.93,d
Brighton - Everton,2.3,3.22,3.37,l
Liverpool - Chelsea,2.42,3.31,3.05,d
Manchester City - Arsenal,1.34,5.22,9.77,w
Newcastle - Southampton,2.43,3.54,2.87,d
Norwich - Leicester,4.22,3.62,1.9,l
West Ham - Crystal Palace,1.56,4.09,6.42,d
West Ham - Leicester,2.46,3.46,2.9,w
Arsenal - Chelsea,4.56,3.55,1.86,l
Southampton - Manchester Utd,5.43,4.3,1.61,d
Wolves - Tottenham,2.94,3.07,2.68,l
Aston Villa - Newcastle,1.84,3.9,4.2,w
Brighton - Watford,1.74,3.58,5.41,w
Crystal Palace - Brentford,2.67,3.17,2.87,d
Leeds - Everton,2.12,3.49,3.55,d
Liverpool - Burnley,1.24,6.59,12.26,w
Manchester City - Norwich,1.12,10.11,23.13,w
Newcastle - West Ham,3.37,3.49,2.19,l
Tottenham - Manchester City,5.98,4.12,1.59,w
Burnley - Brighton,3.19,3.1,2.48,l
Chelsea - Crystal Palace,1.33,5.19,10.67,w
Everton - Southampton,2.04,3.38,3.95,w
Leicester - Wolves,1.74,3.73,5.06,w
Manchester Utd - Leeds,1.64,4.19,5.21,w
Norwich - Liverpool,6.78,4.85,1.46,l
Watford - Aston Villa,3.51,3.3,2.21,w
Brentford - Arsenal,3.89,3.27,2.1,w
Fulham-Arsenal,6,4.33,1.53,l
Crystal Palace-Southampton,3.1,3.25,2.37,w
Liverpool-Leeds,1.28,6,9.5,w
West Ham-Newcastle,2.15,3.4,3.4,l
West Brom-Leicester,3.8,3.6,1.95,l
Tottenham-Everton,1.83,3.6,4.33,l
Brighton-Chelsea,5,4.33,1.61,l
Sheffield United-Wolves,3.25,3.1,2.37,l
Everton-West Brom,1.5,4.2,6.5,w
Leeds-Fulham,1.61,3.9,5.75,w
Man United-Crystal Palace,1.3,5.5,9.5,l
Arsenal-West Ham,1.53,4.5,5.5,w
Southampton-Tottenham,3,3.3,2.37,l
Newcastle-Brighton,2.6,3.1,2.87,l
Chelsea-Liverpool,3.1,3.6,2.2,l
Leicester-Burnley,1.61,4,5.5,w
Aston Villa-Sheffield United,2.7,3.1,2.75,w
Wolves-Man City,6.5,4.33,1.5,l
Brighton-Man United,4.75,3.75,1.72,l
Crystal Palace-Everton,3.75,3.25,2.1,l
West Brom-Chelsea,9,4.75,1.36,d
Burnley-Southampton,3.2,3.3,2.3,l
Sheffield United-Leeds,2.7,3.3,2.62,l
Tottenham-Newcastle,1.45,4.5,7,d
Man City-Leicester,1.28,6,9.5,l
West Ham-Wolves,3.6,3.5,2.05,w
Fulham-Aston Villa,2.9,3.25,2.5,l
Liverpool-Arsenal,1.45,4.75,6.5,w
Chelsea-Crystal Palace,1.4,4.75,8,w
Everton-Brighton,1.72,3.75,4.8,w
Leeds-Man City,7.5,5.25,1.36,d
Newcastle-Burnley,2.4,3.2,3.1,w
Leicester-West Ham,1.61,4.2,5.25,l
Southampton-West Brom,1.72,3.8,4.75,w
Arsenal-Sheffield United,1.57,4,6,w
Wolves-Fulham,1.5,4,7.5,w
Man United-Tottenham,1.85,3.8,4,l
Aston Villa-Liverpool,10,5.5,1.3,w
Everton-Liverpool,3.75,4.2,1.83,d
Chelsea-Southampton,1.45,4.75,6.5,d
Man City-Arsenal,1.44,5,6.5,w
Newcastle-Man United,4.75,4,1.66,l
Sheffield United-Fulham,2.1,3.3,3.7,d
Crystal Palace-Brighton,2.62,3.3,2.7,d
Tottenham-West Ham,1.57,4.33,5.5,d
Leicester-Aston Villa,1.83,3.8,4.1,l
West Brom-Burnley,2.45,3.3,2.9,d
Leeds-Wolves,2.5,3.3,2.87,l
Aston Villa-Leeds,2.05,3.75,3.3,l
West Ham-Man City,8,5.25,1.36,d
Fulham-Crystal Palace,2.75,3.1,2.7,l
Man United-Chelsea,2.37,3.6,2.8,d
Liverpool-Sheffield United,1.22,6.5,12,w
Southampton-Everton,2.75,3.4,2.55,w
Wolves-Newcastle,1.75,3.5,5.25,d
Arsenal-Leicester,1.9,3.75,3.8,l
Brighton-West Brom,1.7,4,4.75,d
Burnley-Tottenham,5.75,4,1.6,l
Wolves-Crystal Palace,2,3.2,4.33,w
Sheffield United-Man City,9.5,6,1.28,l
Burnley-Chelsea,6,4.5,1.5,l
Liverpool-West Ham,1.36,5.25,7.5,w
Aston Villa-Southampton,2.45,3.5,2.8,l
Newcastle-Everton,3.7,3.4,2.05,w
Man United-Arsenal,2,3.6,3.6,l
Tottenham-Brighton,1.61,4,5.5,w
Fulham-West Brom,2.4,3.3,3,w
Leeds-Leicester,2.5,3.6,2.62,l
Brighton-Burnley,1.85,3.5,4.33,d
Southampton-Newcastle,2,3.6,3.7,w
Everton-Man United,2.9,3.5,2.37,l
Crystal Palace-Leeds,2.87,3.4,2.45,w
Chelsea-Sheffield United,1.36,5,8.5,w
West Ham-Fulham,1.83,3.75,4.2,w
West Brom-Tottenham,7,4.33,1.45,l
Leicester-Wolves,2.3,3.2,3.25,w
Man City-Liverpool,1.95,4.2,3.4,d
Arsenal-Aston Villa,1.65,4.1,5,l
Newcastle-Chelsea,6.5,4.75,1.45,l
Aston Villa-Brighton,2.15,3.6,3.2,l
Tottenham-Man City,4,4,1.8,w
Man United-West Brom,1.3,5.5,9.5,w
Fulham-Everton,3.9,3.9,1.85,l
Sheffield United-West Ham,3,3.25,2.4,l
Leeds-Arsenal,3,3.75,2.2,d
Liverpool-Leicester,1.85,4,3.8,w
Burnley-Crystal Palace,2.75,3.1,2.75,w
Wolves-Southampton,2.3,3.25,3.25,d
Crystal Palace-Newcastle,2.05,3.25,3.75,l
Brighton-Liverpool,5.5,4.2,1.57,d
Man City-Burnley,1.16,7.5,16,w
Everton-Leeds,1.95,3.8,3.6,l
West Brom-Sheffield United,2.6,3.2,2.8,w
Southampton-Man United,4,3.5,1.95,l
Chelsea-Tottenham,2.05,3.5,3.6,d
Arsenal-Wolves,2.05,3.4,3.75,l
Leicester-Fulham,1.5,4.33,6.5,l
West Ham-Aston Villa,2.25,3.6,3,w
Burnley-Everton,4,3.5,1.9,d
Man City-Fulham,1.1,11,19,w
West Ham-Man United,3.6,3.6,2,l
Chelsea-Leeds,1.5,4.5,6,w
West Brom-Crystal Palace,2.87,3.2,2.55,l
Sheffield United-Leicester,3.8,3.5,1.95,l
Tottenham-Arsenal,1.95,3.6,3.8,w
Liverpool-Wolves,1.5,4.33,6.5,w
Brighton-Southampton,2.45,3.4,2.9,l
Leeds-West Ham,2.15,3.7,3.1,l
Wolves-Aston Villa,2.25,3.25,3.25,l
Newcastle-West Brom,2.45,3.2,3,w
Man United-Man City,4.33,4.2,1.72,d
Everton-Chelsea,4.33,4.2,1.7,w
Southampton-Sheffield United,1.7,3.75,5,w
Crystal Palace-Tottenham,4.5,3.9,1.72,d
Fulham-Liverpool,9,5.5,1.3,d
Arsenal-Burnley,1.53,4.2,6.25,l
Leicester-Brighton,2,3.5,3.8,w
Wolves-Chelsea,5.25,3.8,1.66,w
Man City-West Brom,1.09,11,21,d
Arsenal-Southampton,2.25,3.5,3.1,d
Leeds-Newcastle,1.75,4,4.33,w
Leicester-Everton,2.15,3.6,3.25,l
Fulham-Brighton,2.87,3.3,2.5,d
Liverpool-Tottenham,1.75,3.8,4.5,w
West Ham-Crystal Palace,2.05,3.4,3.6,d
Aston Villa-Burnley,1.75,3.8,4.5,d
Sheffield United-Man United,7,4.6,1.44,l
Crystal Palace-Liverpool,6.5,4.33,1.5,l
Southampton-Man City,7,4.5,1.44,l
Everton-Arsenal,2.45,3.5,2.8,w
Newcastle-Fulham,2.5,3.25,2.9,d
Brighton-Sheffield United,1.65,3.75,5.5,d
Tottenham-Leicester,2.05,3.5,3.6,l
Man United-Leeds,1.66,4.33,4.5,w
West Brom-Aston Villa,3.6,3.8,1.95,l
Burnley-Wolves,3.5,3.25,2.2,w
Chelsea-West Ham,1.44,5,6.25,w
Leicester-Man United,2.9,3.6,2.3,d
Aston Villa-Crystal Palace,1.9,3.75,3.8,w
Fulham-Southampton,3.2,3.3,2.3,d
Arsenal-Chelsea,4,3.6,1.9,w
Man City-Newcastle,1.11,10,19,w
Sheffield United-Everton,4.2,3.6,1.85,l
Leeds-Burnley,1.72,4,4.33,w
West Ham-Brighton,2.3,3.4,3.1,d
Liverpool-West Brom,1.11,10,19,d
Wolves-Tottenham,3.6,3.25,2.15,d
Crystal Palace-Leicester,3.75,3.5,2,d
Chelsea-Aston Villa,1.61,4.2,5,d
Brighton-Arsenal,3.25,3.5,2.2,l
Burnley-Sheffield United,2.37,3.1,3.25,w
Southampton-West Ham,2.1,3.6,3.4,d
West Brom-Leeds,3.6,3.6,2,l
Man United-Wolves,1.53,4.2,6.25,w
Newcastle-Liverpool,12,6,1.25,d
Everton-West Ham,2.1,3.5,3.5,l
Man United-Aston Villa,1.72,4.2,4.2,w
Tottenham-Leeds,1.75,4.1,4.2,w
Crystal Palace-Sheffield United,1.95,3.5,3.9,w
Brighton-Wolves,2.62,3.25,2.75,d
West Brom-Arsenal,5.75,4,1.57,l
Newcastle-Leicester,5.25,4.2,1.61,l
Chelsea-Man City,3,3.7,2.2,l
Southampton-Liverpool,5,4.33,1.61,w
Sheffield United-Newcastle,2.45,3.1,3.1,w
Burnley-Man United,7,4.5,1.45,l
Wolves-Everton,2.45,3.1,3.1,l
Man City-Brighton,1.14,8.5,16,w
Tottenham-Fulham,1.36,5,8.5,d
Arsenal-Crystal Palace,1.53,4,6.5,d
Wolves-West Brom,1.6,3.5,7,l
Leeds-Brighton,2.1,3.5,3.4,l
West Ham-Burnley,1.8,3.5,4.75,w
Fulham-Chelsea,6.5,4.33,1.5,l
Leicester-Southampton,1.8,3.75,4.5,w
Sheffield United-Tottenham,6.25,3.75,1.6,l
Liverpool-Man United,1.95,3.8,3.6,d
Man City-Crystal Palace,1.14,8.5,17,w
Arsenal-Newcastle,1.4,4.5,8,w
West Ham-West Brom,1.57,4.2,5.5,w
Leicester-Chelsea,2.87,3.4,2.45,w
Man City-Aston Villa,1.22,6.5,12,w
Fulham-Man United,6,4.33,1.53,l
Liverpool-Burnley,1.18,7.5,15,l
Liverpool-Norwich,1.14,10,19,w
West Ham-Man City,12,6.5,1.22,l
Bournemouth-Sheffield United,1.95,3.6,3.6,d
Burnley-Southampton,2.62,3.2,2.75,w
Crystal Palace-Everton,3,3.25,2.37,d
Watford-Brighton,1.9,3.4,4,l
Tottenham-Aston Villa,1.3,5.25,10,w
Leicester-Wolves,2.2,3.2,3.4,d
Newcastle-Arsenal,4.5,3.75,1.72,l
Man United-Chelsea,2.1,3.3,3.5,w
Arsenal-Burnley,1.3,5.5,10,w
Aston Villa-Bournemouth,2.3,3.4,3.1,l
Brighton-West Ham,2.55,3.25,2.87,d
Everton-Watford,1.72,3.8,4.75,w
Norwich-Newcastle,2.25,3.3,3.3,w
Southampton-Liverpool,6.5,4.75,1.44,l
Man City-Tottenham,1.36,5.25,8,d
Sheffield United-Crystal Palace,2.55,3.1,2.9,w
Chelsea-Leicester,1.7,3.75,5,d
Wolves-Man United,3.3,3.3,2.25,d
Aston Villa-Everton,3.25,3.5,2.15,w
Norwich-Chelsea,4.33,3.75,1.8,l
Brighton-Southampton,2.4,3.3,3,l
Man United-Crystal Palace,1.33,5.25,9,l
Sheffield United-Leicester,3.3,3.3,2.25,l
Watford-West Ham,2.05,3.5,3.5,l
Liverpool-Arsenal,1.5,4.6,6,w
Bournemouth-Man City,15,7.5,1.16,l
Tottenham-Newcastle,1.2,6.5,14,l
Wolves-Burnley,1.85,3.4,4.5,d
Southampton-Man United,3.8,3.3,2.05,d
Chelsea-Sheffield United,1.36,4.75,9,d
Crystal Palace-Aston Villa,2.15,3.3,3.5,w
Leicester-Bournemouth,1.7,4,4.75,w
Man City-Brighton,1.08,10,26,w
Newcastle-Watford,2.5,3.25,2.87,d
West Ham-Norwich,1.85,3.9,3.9,w
Burnley-Liverpool,9.5,5.5,1.3,l
Everton-Wolves,2.2,3.25,3.5,w
Arsenal-Tottenham,2.37,3.6,2.8,d
Liverpool-Newcastle,1.14,8.5,17,w
Brighton-Burnley,2.15,3.3,3.5,d
Man United-Leicester,1.95,3.5,4,w
Sheffield United-Southampton,2.45,3.2,3,l
Tottenham-Crystal Palace,1.36,5.25,8,w
Wolves-Chelsea,2.9,3.3,2.5,l
Norwich-Man City,15,9,1.14,w
Bournemouth-Everton,2.9,3.5,2.4,w
Watford-Arsenal,3.6,3.6,2,d
Aston Villa-West Ham,2.62,3.5,2.6,d
Southampton-Bournemouth,2.05,3.6,3.5,l
Leicester-Tottenham,2.87,3.5,2.37,w
Burnley-Norwich,2,3.8,3.5,w
Everton-Sheffield United,1.61,3.75,6,l
Man City-Watford,1.1,11,21,w
Newcastle-Brighton,2.5,3.2,3,d
Crystal Palace-Wolves,2.62,3.1,2.87,d
West Ham-Man United,3.1,3.6,2.2,w
Arsenal-Aston Villa,1.4,4.75,8,w
Chelsea-Liverpool,3.5,3.75,2,l
Sheffield United-Liverpool,9,5.25,1.33,l
Aston Villa-Burnley,2.3,3.4,3.1,d
Bournemouth-West Ham,2.5,3.5,2.75,d
Chelsea-Brighton,1.4,4.75,8,w
Crystal Palace-Norwich,1.9,3.75,3.75,w
Tottenham-Southampton,1.4,4.75,8,w
Wolves-Watford,1.85,3.4,4.5,w
Everton-Man City,10,5.5,1.3,l
Leicester-Newcastle,1.5,4,7.5,w
Man United-Arsenal,2.37,3.5,2.9,d
Brighton-Tottenham,3.9,3.6,1.9,w
Burnley-Everton,2.87,3.3,2.5,w
Liverpool-Leicester,1.44,4.75,7,w
Norwich-Aston Villa,2.37,3.6,2.8,l
Watford-Sheffield United,2.05,3.4,3.6,d
West Ham-Crystal Palace,1.95,3.6,3.8,l
Arsenal-Bournemouth,1.44,4.75,7,w
Man City-Wolves,1.12,9,21,l
Southampton-Chelsea,4,3.8,1.85,l
Newcastle-Man United,4.5,3.5,1.85,w
Everton-West Ham,1.95,3.75,3.75,w
Aston Villa-Brighton,2.35,3.4,3,w
Bournemouth-Norwich,1.72,4.2,4.2,d
Chelsea-Newcastle,1.3,5.5,10,w
Leicester-Burnley,1.57,4,6,w
Tottenham-Watford,1.4,5,7.5,d
Wolves-Southampton,1.8,3.6,4.5,d
Crystal Palace-Man City,12,7,1.22,l
Man United-Liverpool,5.25,3.8,1.65,d
Sheffield United-Arsenal,3.9,3.75,1.9,w
Southampton-Leicester,3.1,3.4,2.3,l
Man City-Aston Villa,1.08,11,26,w
Brighton-Everton,2.9,3.25,2.5,w
Watford-Bournemouth,2.15,3.6,3.25,d
West Ham-Sheffield United,2.1,3.5,3.5,d
Burnley-Chelsea,4.5,4,1.72,l
Newcastle-Wolves,3,3.1,2.55,d
Arsenal-Crystal Palace,1.45,4.75,6.5,d
Liverpool-Tottenham,1.5,4.33,6.5,w
Norwich-Man United,4.33,4,1.75,l
Bournemouth-Man United,3.25,3.6,2.15,w
Arsenal-Wolves,1.75,3.75,4.75,d
Aston Villa-Liverpool,9,5,1.33,l
Brighton-Norwich,1.72,4.2,4.33,w
Man City-Southampton,1.07,13,23,w
Sheffield United-Burnley,2.25,3.2,3.4,w
West Ham-Newcastle,1.75,3.8,4.5,l
Watford-Chelsea,5,4.33,1.61,l
Crystal Palace-Leicester,3.5,3.4,2.1,l
Everton-Tottenham,2.7,3.4,2.6,d
Norwich-Watford,2.7,3.5,2.55,l
Chelsea-Crystal Palace,1.33,5,10,w
Burnley-West Ham,2.25,3.5,3.1,w
Newcastle-Bournemouth,2.55,3.25,2.8,w
Southampton-Everton,2.9,3.3,2.45,l
Tottenham-Sheffield United,1.57,4,6,d
Leicester-Arsenal,2,3.75,3.5,w
Man United-Brighton,1.6,3.75,6.5,w
Wolves-Aston Villa,1.9,3.5,4.2,w
Liverpool-Man City,2.5,3.6,2.62,w
West Ham-Tottenham,4.2,4.33,1.7,l
Arsenal-Southampton,1.45,4.75,6.5,d
Bournemouth-Wolves,2.75,3.3,2.6,l
Brighton-Leicester,3.75,3.5,2,l
Crystal Palace-Liverpool,7.5,4.75,1.4,l
Everton-Norwich,1.36,5.1,8,l
Watford-Burnley,2.3,3.4,3.1,l
Man City-Chelsea,1.44,5,6.5,w
Sheffield United-Man United,3.5,3.4,2.1,d
Aston Villa-Newcastle,2.05,3.4,3.7,w
Newcastle-Man City,13,8,1.16,d
Burnley-Crystal Palace,2.25,3.25,3.3,l
Chelsea-West Ham,1.28,6,9,l
Liverpool-Brighton,1.18,7,15,w
Tottenham-Bournemouth,1.36,5.5,7.5,w
Southampton-Watford,2.1,3.4,3.5,w
Norwich-Arsenal,4,4.33,1.75,d
Wolves-Sheffield United,1.9,3.5,4.2,d
Leicester-Everton,1.61,4,5.25,w
Man United-Aston Villa,1.45,4.5,7,d
Crystal Palace-Bournemouth,2.2,3.4,3.25,w
Burnley-Man City,11,7,1.22,l
Chelsea-Aston Villa,1.28,5.75,10,w
Leicester-Watford,1.33,5.5,8,w
Man United-Tottenham,2.75,3.4,2.55,w
Southampton-Norwich,1.72,4,4.2,w
Wolves-West Ham,1.75,3.7,4.75,w
Liverpool-Everton,1.36,5,8.5,w
Sheffield United-Newcastle,1.83,3.4,4.6,l
Arsenal-Brighton,1.57,4.33,5.5,l
Everton-Chelsea,3.5,3.75,2,w
Bournemouth-Liverpool,7,5.25,1.4,l
Tottenham-Burnley,1.4,4.75,8,w
Watford-Crystal Palace,2.37,3.3,3.1,d
Man City-Man United,1.3,5.5,10,l
Aston Villa-Leicester,4.33,3.8,1.8,l
Newcastle-Southampton,2.5,3.2,2.9,w
Norwich-Sheffield United,2.9,3.5,2.37,l
Brighton-Wolves,2.62,3.1,2.87,d
West Ham-Arsenal,3.3,4,2,l
Liverpool-Watford,1.16,7.5,17,w
Burnley-Newcastle,1.95,3.4,4,w
Chelsea-Bournemouth,1.25,6,12,l
Leicester-Norwich,1.22,6.5,13,d
Sheffield United-Aston Villa,1.85,3.75,4.2,w
Southampton-West Ham,1.9,3.8,3.8,l
Man United-Everton,1.8,3.7,4.5,d
Wolves-Tottenham,3.25,3.4,2.25,l
Arsenal-Man City,6,5.25,1.44,l
Crystal Palace-Brighton,2.55,3.25,2.87,d
Everton-Arsenal,2.3,3.8,2.87,d
Aston Villa-Southampton,2.4,3.6,2.8,l
Bournemouth-Burnley,2.4,3.4,2.9,l
Brighton-Sheffield United,2.2,3.25,3.5,l
Newcastle-Crystal Palace,2.37,3.1,3.25,w
